target;source;segment
bucket;get_bucket_name;bucket = get_bucket_name(environment, branch, schemaname, tablename, bucket)
bucket;environment;bucket = get_bucket_name(environment, branch, schemaname, tablename, bucket)
bucket;branch;bucket = get_bucket_name(environment, branch, schemaname, tablename, bucket)
bucket;schemaname;bucket = get_bucket_name(environment, branch, schemaname, tablename, bucket)
bucket;tablename;bucket = get_bucket_name(environment, branch, schemaname, tablename, bucket)
bucket;bucket;bucket = get_bucket_name(environment, branch, schemaname, tablename, bucket)
bucket;logger;bucket = get_bucket_name(environment, branch, schemaname, tablename, bucket)
bucket;bucket;bucket = get_bucket_name(environment, branch, schemaname, tablename, bucket)
prefix;PARTITION_PREFIX;prefix = PARTITION_PREFIX
result;set;result = set()
result;get_matching_s3_keys;result = set()
result;bucket;result = set()
result;prefix;result = set()
result;logger;result = set()
result;partition;result = set()
partition_value;partition;partition_value = partition.split('/', 2)[0][len(prefix):]
partition_value;len;partition_value = partition.split('/', 2)[0][len(prefix):]
partition_value;prefix;partition_value = partition.split('/', 2)[0][len(prefix):]
partition_value;datetime;partition_value = partition.split('/', 2)[0][len(prefix):]
partition_value;partition_value;partition_value = partition.split('/', 2)[0][len(prefix):]
partition_value;PARTITION_FORMAT;partition_value = partition.split('/', 2)[0][len(prefix):]
partition_value;result;partition_value = partition.split('/', 2)[0][len(prefix):]
partition_value;partition_value;partition_value = partition.split('/', 2)[0][len(prefix):]
partition_value;logger;partition_value = partition.split('/', 2)[0][len(prefix):]
partition_value;partition_value;partition_value = partition.split('/', 2)[0][len(prefix):]
partition_value;ValueError;partition_value = partition.split('/', 2)[0][len(prefix):]
partition_value;logger;partition_value = partition.split('/', 2)[0][len(prefix):]
partition_value;partition;partition_value = partition.split('/', 2)[0][len(prefix):]
partition_value;result;partition_value = partition.split('/', 2)[0][len(prefix):]
